Date, holidays
2012-01-01, Yilbasi
2012-04-23, 23Nisan
2012-05-01, 1Mayis
2012-05-19, 19Mayis
2012-08-18, ArifeRamazan
2012-08-19, 1Ramazan
2012-08-20, 2Ramazan
2012-08-21, 3Ramazan
2012-08-30, Zafer
2012-10-24, ArifeKurban
2012-10-25, 1Kurban
2012-10-26, 2Kurban
2012-10-27, 3Kurban
2012-10-28, 4Kurban
2012-10-29, Cumhuriyet
2012-11-10, Ataturk
2013-01-01, Yilbasi
2013-04-23, 23Nisan
2013-05-01, 1Mayis
2013-05-19, 19Mayis
2013-08-07, ArifeRamazan
2013-08-08, 1Ramazan
2013-08-09, 2Ramazan
2013-08-10, 3Ramazan
2013-08-30, Zafer
2013-10-14, ArifeKurban
2013-10-15, 1Kurban
2013-10-16, 2Kurban
2013-10-17, 3Kurban
2013-10-18, 4Kurban
2013-10-29, Cumhuriyet
2013-11-10, Ataturk
2014-01-01, Yilbasi
2014-04-23, 23Nisan
2014-05-01, 1Mayis
2014-05-19, 19Mayis
2014-07-27, ArifeRamazan
2014-07-28, 1Ramazan
2014-07-29, 2Ramazan
2014-07-30, 3Ramazan
2014-08-30, Zafer
2014-10-03, ArifeKurban
2014-10-04, 1Kurban
2014-10-05, 2Kurban
2014-10-06, 3Kurban
2014-10-07, 4Kurban
2014-10-29, Cumhuriyet
2014-11-10, Ataturk
2015-01-01, Yilbasi
2015-04-23, 23Nisan
2015-05-01, 1Mayis
2015-05-19, 19Mayis
2015-07-16, ArifeRamazan
2015-07-17, 1Ramazan
2015-07-18, 2Ramazan
2015-07-19, 3Ramazan
2015-08-30, Zafer
2015-09-23, ArifeKurban
2015-09-24, 1Kurban
2015-09-25, 2Kurban
2015-09-26, 3Kurban
2015-09-27, 4Kurban
2015-10-29, Cumhuriyet
2015-11-10, Ataturk
2016-01-01, Yilbasi
2016-04-23, 23Nisan
2016-05-01, 1Mayis
2016-05-19, 19Mayis
2016-07-04, ArifeRamazan
2016-07-05, 1Ramazan
2016-07-06, 2Ramazan
2016-07-07, 3Ramazan
2016-08-30, Zafer
2016-09-11, ArifeKurban
2016-09-12, 1Kurban
2016-09-13, 2Kurban
2016-09-14, 3Kurban
2016-09-15, 4Kurban
2016-10-29, Cumhuriyet
2016-11-10, Ataturk
2017-01-01, Yilbasi
2017-04-23, 23Nisan
2017-05-01, 1Mayis
2017-05-19, 19Mayis
2017-06-24, ArifeRamazan
2017-06-25, 1Ramazan
2017-06-26, 2Ramazan
2017-06-27, 3Ramazan
2017-08-30, Zafer
2017-08-31, ArifeKurban
2017-09-01, 1Kurban
2017-09-02, 2Kurban
2017-09-03, 3Kurban
2017-09-04, 4Kurban
2017-10-29, Cumhuriyet
2017-11-10, Ataturk
2018-01-01, Yilbasi
2018-04-23, 23Nisan
2018-05-01, 1Mayis
2018-05-19, 19Mayis
2018-06-14, ArifeRamazan
2018-06-15, 1Ramazan
2018-06-16, 2Ramazan
2018-06-17, 3Ramazan
2018-08-20, ArifeKurban
2018-08-21, 1Kurban
2018-08-22, 2Kurban
2018-08-23, 3Kurban
2018-08-24, 4Kurban
2018-08-30, Zafer
2018-10-29, Cumhuriyet
2018-11-10, Ataturk
2019-01-01, Yilbasi
2019-04-23, 23Nisan
2019-05-01, 1Mayis
2019-05-19, 19Mayis
2019-06-03, ArifeRamazan
2019-06-04, 1Ramazan
2019-06-05, 2Ramazan
2019-06-06, 3Ramazan
2019-08-10, ArifeKurban
2019-08-11, 1Kurban
2019-08-12, 2Kurban
2019-08-13, 3Kurban
2019-08-14, 4Kurban
2019-08-30, Zafer
2019-10-29, Cumhuriyet
2019-11-10, Ataturk
2020-01-01, Yilbasi
2020-04-23, 23Nisan
2020-05-01, 1Mayis
2020-05-19, 19Mayis
2020-05-23, ArifeRamazan
2020-05-24, 1Ramazan
2020-05-25, 2Ramazan
2020-05-26, 3Ramazan
2020-07-30, ArifeKurban
2020-07-31, 1Kurban
2020-08-01, 2Kurban
2020-08-02, 3Kurban
2020-08-03, 4Kurban
2020-08-30, Zafer
2020-10-29, Cumhuriyet
2020-11-10, Ataturk
2021-01-01, Yilbasi
2021-04-23, 23Nisan
2021-05-01, 1Mayis
2021-05-13, ArifeRamazan
2021-05-14, 1Ramazan
2021-05-15, 2Ramazan
2021-05-16, 3Ramazan
2021-05-19, 19Mayis
2021-07-19, ArifeKurban
2021-07-20, 1Kurban
2021-07-21, 2Kurban
2021-07-22, 3Kurban
2021-07-23, 4Kurban
2021-08-30, Zafer
2021-10-29, Cumhuriyet
2021-11-10, Ataturk
